148524, 3214, 2279, 1186, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155850, -1456, 2769, -55, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155891, -1292, 3141, -50, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155931, -996, 3299, -138, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
155972, -835, 3788, -379, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156013, -676, 4303, -606, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156054, -1028, 4307, -811, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156088, -921, 4691, -1030, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156123, -970, 3926, -1295, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156157, -252, 3161, -1546, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156192, -1115, 3849, -1043, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156227, -1446, 4435, -1180, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156261, -983, 3875, -1034, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156296, -849, 4369, -1070, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156331, -726, 4147, -1141, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156365, -1181, 3359, -1352, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156400, -769, 4006, -1729, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156435, -833, 3923, -1863, 74, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156475, -910, 2645, -1806, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156516, -583, 2476, -1196, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156556, -552, 2943, -1284, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156597, -661, 3280, -1477, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156638, -701, 3753, -1632, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156678, -698, 3814, -1713, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156719, -653, 3861, -1964, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156759, -635, 3869, -2138, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
156800, -567, 3698, -2080, 75, 5ee4e967-d22d-4fa6-b50b-d3deb3d0b532, , transisi, transisi_sujud_ke_bersedekap, , 
