31828, -690, 3979, -577, 75, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41573, -561, 3999, -716, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41608, -554, 4017, -735, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41648, -586, 3963, -728, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41688, -577, 4018, -751, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41728, -588, 3995, -720, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41769, -563, 3988, -746, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41809, -584, 3989, -776, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41849, -604, 3979, -721, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41890, -595, 3963, -741, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41930, -549, 3999, -776, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
41970, -567, 3999, -746, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42011, -568, 3968, -771, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42049, -605, 3979, -759, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42087, -608, 3973, -759, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42125, -605, 3972, -718, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42163, -543, 4002, -761, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42201, -572, 3990, -766, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42240, -600, 3984, -755, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42278, -575, 3995, -772, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42316, -565, 3998, -797, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42354, -573, 3971, -743, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42392, -571, 3990, -797, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42431, -603, 3980, -759, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42469, -569, 3961, -752, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42507, -562, 3989, -776, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42545, -566, 3997, -796, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42583, -575, 3978, -762, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42621, -567, 3988, -761, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42659, -604, 3999, -772, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42697, -588, 3964, -766, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42735, -558, 3985, -775, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42773, -572, 3969, -770, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42811, -592, 3976, -768, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42847, -586, 3976, -762, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42883, -576, 3991, -758, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42919, -579, 3984, -761, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42955, -556, 3962, -762, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
42991, -572, 4010, -739, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43028, -581, 3995, -784, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43064, -578, 3987, -754, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43100, -563, 3978, -748, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43136, -574, 4024, -779, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43172, -588, 4041, -733, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43209, -581, 3960, -693, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43248, -566, 3968, -702, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43287, -573, 4003, -715, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43326, -602, 4005, -692, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43365, -590, 4008, -680, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43404, -593, 4035, -688, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43443, -555, 3988, -657, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43482, -622, 3999, -606, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43521, -605, 4015, -588, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43560, -631, 4101, -618, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43599, -616, 4040, -403, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
43644, -633, 4098, -659, 74, 98d0b133-34ca-4086-8600-70375d04b469, , berdiri, bersedekap, , 
