189444, -1068, 4039, -1034, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198538, -1075, 3818, -1130, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198576, -1081, 3778, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198614, -1052, 3796, -1114, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198653, -1047, 3773, -1098, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198692, -1100, 3843, -1073, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198731, -1095, 3838, -1121, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198770, -1095, 3791, -1063, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198809, -1063, 3742, -1111, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198848, -1079, 3810, -1094, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198887, -1053, 3826, -1124, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198926, -1070, 3803, -1098, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198965, -1086, 3828, -1079, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199004, -1043, 3790, -1143, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199044, -1072, 3775, -1033, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199081, -1082, 3804, -1108, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199118, -1079, 3838, -1104, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199155, -1068, 3778, -1109, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199193, -1060, 3778, -1132, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199230, -1057, 3755, -1054, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199267, -1055, 3787, -1132, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199304, -1082, 3790, -1026, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199342, -1013, 3776, -1111, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199379, -1046, 3808, -1071, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199416, -1039, 3737, -1109, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199454, -1050, 3737, -1098, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199498, -1082, 3841, -1078, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199543, -1060, 3774, -1107, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199588, -1067, 3864, -1075, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199633, -1071, 3842, -1113, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199678, -1068, 3788, -1075, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199722, -1009, 3796, -1106, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199767, -1059, 3784, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199812, -1081, 3763, -1091, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199857, -1071, 3791, -1084, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199902, -1090, 3835, -1116, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199937, -1059, 3807, -1062, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
199973, -1041, 3812, -1093, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200009, -1064, 3779, -1131, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200045, -1061, 3768, -1076, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200081, -1079, 3815, -1116, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200117, -1062, 3807, -1083, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200153, -1058, 3785, -1080, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200189, -1086, 3803, -1103, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200225, -1083, 3808, -1094, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200261, -1086, 3794, -1088, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200296, -1068, 3781, -1086, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200332, -1079, 3774, -1122, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200368, -1092, 3839, -1058, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200403, -1032, 3795, -1162, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200439, -1074, 3822, -1064, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200475, -1067, 3792, -1121, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200511, -1084, 3809, -1104, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200546, -1078, 3841, -1109, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200582, -1076, 3803, -1136, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200618, -1065, 3751, -1076, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200654, -1089, 3753, -1106, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200694, -1099, 3788, -1090, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200734, -1069, 3812, -1090, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200774, -1084, 3794, -1114, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200814, -1072, 3788, -1087, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200854, -1086, 3775, -1159, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200894, -1093, 3786, -1047, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200934, -1025, 3835, -1195, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
200974, -1065, 3785, -1053, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201014, -1100, 3809, -1124, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201055, -1095, 3825, -1103, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201090, -1079, 3798, -1125, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201125, -1045, 3802, -1144, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201161, -1064, 3735, -1077, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201196, -1094, 3815, -1134, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201231, -1087, 3820, -1106, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201267, -1081, 3800, -1090, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201302, -1073, 3794, -1121, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201337, -1077, 3776, -1079, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201373, -1064, 3741, -1133, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201408, -1105, 3800, -1058, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201444, -1086, 3803, -1153, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201484, -1062, 3794, -1074, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201525, -1079, 3770, -1123, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201566, -1094, 3788, -1145, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201607, -1092, 3817, -1118, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201648, -1074, 3850, -1148, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201688, -1080, 3791, -1087, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201729, -1086, 3829, -1142, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201770, -1057, 3838, -1158, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201811, -1079, 3790, -1161, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201852, -1087, 3797, -1122, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201893, -1047, 3744, -1104, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201935, -1067, 3759, -1145, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
201977, -1040, 3747, -1098, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202019, -1005, 3713, -1210, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202061, -1063, 3763, -1075, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202102, -1031, 3772, -1143, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202144, -1055, 3820, -1143, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202186, -1066, 3839, -1137, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202228, -1046, 3777, -1121, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202270, -1063, 3808, -1109, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202304, -1066, 3842, -1138, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202338, -1032, 3780, -1150, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202372, -1033, 3824, -1161, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202406, -1043, 3807, -1130, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202440, -1032, 3804, -1134, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202474, -1014, 3776, -1157, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202508, -1039, 3837, -1113, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202542, -1007, 3798, -1192, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202576, -1063, 3847, -1075, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202610, -1044, 3792, -1129, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202645, -1051, 3764, -1095, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202687, -1064, 3808, -1098, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202729, -1042, 3809, -1123, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202772, -1052, 3766, -1077, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202814, -1072, 3817, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202857, -1054, 3812, -1103, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202899, -1077, 3795, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202941, -1068, 3801, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
202984, -1071, 3869, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203026, -1099, 3810, -1169, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203069, -1052, 3810, -1035, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203104, -1027, 3803, -1160, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203139, -1057, 3825, -1019, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203174, -1093, 3806, -1108, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203209, -1081, 3805, -1093, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203244, -1074, 3786, -1079, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203279, -1079, 3788, -1082, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203314, -1098, 3801, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203349, -1102, 3844, -1081, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203384, -1097, 3799, -1073, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203419, -1109, 3799, -1071, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203454, -1077, 3805, -1101, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203493, -1076, 3785, -1071, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203532, -1095, 3805, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203571, -1096, 3776, -1062, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203610, -1120, 3767, -1092, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203649, -1098, 3818, -1061, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203688, -1082, 3766, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203727, -1095, 3765, -1095, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203766, -1113, 3791, -1078, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203805, -1040, 3772, -1116, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203844, -1077, 3799, -1100, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203886, -1062, 3755, -1064, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
203928, -1078, 3783, -1105, 104, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
